" TB prevalence, all forms (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Lesotho,"3,596","3,749","3,763","3,808","3,934","4,173","4,354","4,715","5,433","9,616","6,711","7,070","7,714","7,955","8,133","8,331","8,140","11,410"
Liberia,"10,177","9,964","9,716","9,541","9,571","9,884","9,528","10,492","10,692","11,723","13,365","13,906","12,396","14,112","12,375","14,315","14,062","14,918"
Libyan Arab Jamahiriya,"1,989","1,997","2,053","2,018","2,032","2,024","2,002","1,915","1,863","1,206","1,197","1,181","1,162","1,138","1,109","1,087","1,074","1,060"
Lithuania,"2,352","2,438","2,628","2,892","3,242","3,556","3,950","4,272","4,425","4,237","4,019","3,342","2,863","2,477","2,471","2,269","2,216","2,353"
Luxembourg,71,68,65,62,60,58,57,55,54,50,50,49,49,45,46,46,46,44
Madagascar,"44,200","45,605","47,045","48,519","50,021","51,543","48,708","51,152","52,783","55,380","58,083","61,748","65,573","66,115","69,715","76,077","76,684","82,137"
Malawi,"35,906","36,380","35,726","35,034","35,105","35,114","34,729","36,311","37,794","39,414","42,116","41,810","43,925","44,406","44,671","45,222","43,982","42,447"
Malaysia,"28,852","29,361","29,836","30,279","30,695","31,086","31,102","37,520","37,801","38,011","31,345","31,650","32,032","31,670","32,163","32,226","32,105","32,251"
Maldives,308,289,270,252,235,217,224,261,235,251,263,232,235,197,207,186,206,147
Mali,"49,098","49,658","50,125","50,491","50,757","50,951","51,354","52,129","53,488","55,128","57,149","59,028","60,720","63,159","65,810","68,410","71,018","73,931"
Malta,35,34,32,31,29,28,25,27,26,24,23,22,21,22,20,20,19,19
Mauritania,"11,371","11,728","12,097","12,475","12,859","13,237","14,234","14,485","14,826","15,333","15,878","16,500","17,209","17,990","14,249","16,729","16,910","17,471"
Mauritius,562,550,539,529,518,507,700,699,519,472,457,507,479,477,474,480,487,494
Mexico,"84,578","79,613","74,942","70,557","66,445","62,589","59,580","55,565","50,561","46,996","41,940","37,832","35,826","33,724","32,151","28,110","26,178","24,029"
"Micronesia, Fed. Sts.",254,250,247,243,239,232,220,310,297,284,186,183,164,154,140,137,123,111
Monaco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mongolia,"10,580","10,805","10,995","11,156","11,291","11,407","8,032","8,293","7,486","6,892","7,328","6,804","6,481","6,535","5,960","5,999","5,649","6,142"
Montenegro,,,,,,,,,,,,,,,,,296,
Montserrat,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Morocco,"33,232","32,890","32,520","32,127","31,715","31,289","29,137","29,504","29,561","28,213","28,134","27,722","25,730","27,145","26,972","25,926","25,295","24,955"
Mozambique,"38,910","43,425","46,933","50,945","54,816","58,760","63,357","68,868","74,810","81,834","90,727","99,811","106,481","111,664","113,768","113,198","110,748","107,752"
Myanmar,"165,017","163,075","161,132","159,198","157,326","155,601","130,375","136,664","139,838","135,222","122,366","110,466","94,624","82,351","79,920","77,057","77,941","78,846"
Namibia,"9,208","10,069","10,438","10,698","10,804","10,906","6,587","6,910","7,387","8,146","9,048","9,680","10,557","11,017","11,395","11,516","11,380","11,038"
Nauru,16,27,27,27,9,26,26,25,25,4,4,6,6,5,16,12,18,3
Nepal,"120,250","118,938","117,623","116,275","114,860","113,382","110,660","107,792","104,548","86,690","76,115","75,956","72,584","70,462","68,961","66,858","67,965","67,546"
Netherlands,"1,638","1,555","1,487","1,403","1,352","1,295","1,260","1,227","1,183","1,120","1,077","1,044","1,039","1,002",986,975,963,950
Netherlands Antilles,54,51,49,46,44,41,39,38,36,33,32,30,30,29,29,29,29,29
New Caledonia,191,187,187,139,130,116,116,196,200,107,109,94,76,63,68,67,58,60
New Zealand,351,356,330,336,362,391,380,370,404,412,417,374,389,387,389,374,339,303
Nicaragua,"6,012","5,803","5,604","5,412","5,220","5,026","4,782","4,703","4,622","4,466","4,361","4,161","4,149","3,885","3,745","3,725","3,526","3,139"
Niger,"24,805","25,706","26,637","27,590","28,552","29,514","30,956","29,112","29,069","30,186","30,923","32,330","34,363","33,990","36,767","37,865","39,765","41,543"
Nigeria,"265,948","298,106","321,079","346,252","370,935","398,968","424,308","460,064","500,490","549,143","610,739","673,303","738,973","774,773","790,329","796,225","786,472","771,507"
Niue,3,3,3,2,2,2,4,0,0,2,0,0,9,0,0,0,0,0
Northern Mariana Islands,62,94,149,101,102,107,113,207,216,147,93,85,70,63,63,67,69,60
Norway,359,340,325,306,295,282,274,267,247,233,225,218,217,210,207,205,203,201
Oman,745,688,582,507,458,468,333,339,321,338,303,340,318,318,303,332,334,369
Pakistan,"485,491","497,477","508,367","518,701","529,026","539,559","551,721","565,512","572,037","592,841","596,045","598,457","563,477","541,337","516,840","457,530","418,518","364,793"
Palau,14,10,7,42,69,32,9,17,10,71,20,20,14,13,6,20,15,14
Panama,"1,787","1,788","1,791","1,795","1,801","1,810","1,839","1,851","1,858","1,860","1,764","1,525","1,473","1,526","1,406","1,431","1,455","1,493"
Papua New Guinea,"20,579","21,105","21,643","22,193","22,757","23,333","23,917","24,503","25,079","25,632","26,145","26,604","26,993","27,290","27,465","27,491","27,330","27,197"
Paraguay,"4,018","4,067","4,114","4,156","4,194","4,228","3,500","4,643","4,719","4,789","4,819","4,840","4,911","4,849","4,901","4,773","4,438","4,495"
Peru,"85,772","81,642","77,629","73,734","69,958","66,305","65,433","61,877","57,320","56,152","53,821","51,492","49,116","48,491","45,045","42,349","39,359","37,922"
Philippines,"489,394","490,480","491,445","492,258","492,885","492,906","494,314","493,102","489,248","484,045","457,125","450,005","445,877","440,104","442,324","440,126","436,017","440,035"
Poland,"33,462","33,219","33,183","32,781","31,887","30,441","28,707","26,280","24,115","22,155","20,278","19,005","13,583","12,898","12,485","11,735","11,190","10,697"
Portugal,"5,111","4,885","4,652","4,530","4,413","4,341","4,202","4,092","3,912","3,905","3,687","3,513","3,412","3,308","3,004","2,803","2,587","2,418"
Puerto Rico,603,546,629,656,668,671,549,488,464,398,343,306,253,252,238,238,221,206
Qatar,330,334,343,374,434,469,470,466,429,458,479,507,513,517,540,547,635,684
"Korea, Rep.","95,626","84,715","76,271","66,448","63,410","59,548","47,452","45,069","41,284","49,813","52,981","52,707","59,489","51,362","53,482","56,248","58,556","60,969"
Moldova,"4,588","4,358","4,538","4,905","5,375","6,045","6,812","7,378","8,133","8,535","8,920","7,131","8,518","6,994","5,981","5,836","5,771","5,740"
Romania,"27,416","29,021","30,947","33,850","36,231","37,804","39,358","41,283","28,802","43,129","43,700","45,400","39,579","40,363","38,641","31,948","29,811","27,437"
Russian Federation,"102,085","95,921","103,960","116,640","136,412","165,900","195,841","211,847","229,708","236,197","242,041","232,483","216,222","204,300","195,253","174,460","168,112","163,861"
Rwanda,"13,856","14,835","14,897","14,842","14,899","15,709","17,421","20,090","23,750","29,329","36,117","42,908","48,079","51,805","54,960","56,058","56,309","57,390"
Saint Kitts and Nevis,7,7,7,7,7,7,7,7,5,5,7,6,5,7,6,7,7,6
Saint Lucia,36,36,36,36,35,35,34,25,25,28,31,28,27,29,29,30,29,29
Saint Vincent and the Grenadines,50,49,49,48,48,47,47,47,43,47,40,42,42,40,43,43,40,47
Samoa,58,57,55,54,53,52,60,57,86,55,47,60,50,51,44,50,48,47
San Marino,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sao Tome and Principe,402,398,393,388,382,377,377,378,392,380,381,379,379,392,383,391,392,378
Saudi Arabia,"10,975","10,107","10,033","10,462","11,511","12,310","13,249","14,049","14,944","14,585","13,886","13,778","13,549","13,536","13,749","14,270","15,094","16,004"
Senegal,"29,972","30,812","31,635","32,443","33,239","34,023","34,619","37,028","38,961","42,628","43,397","45,649","48,300","49,267","52,119","53,668","55,661","57,939"
Seychelles,81,80,78,76,75,73,50,46,56,72,42,43,35,56,44,49,48,48
Sierra Leone,"18,995","19,764","20,333","20,808","21,369","22,134","21,888","23,816","25,784","27,868","30,501","32,735","36,593","40,482","44,743","48,395","51,805","55,169"
Singapore,"1,560","1,610","1,685","1,634","1,666","1,699","1,791","1,859","1,815","1,737","1,554","1,462","1,414","1,354","1,326","1,219","1,183","1,190"
Slovakia,"2,880","2,973","3,133","3,160","2,989","2,762","2,472","2,286","2,021","1,901","1,742","1,616","1,549","1,386","1,355","1,125","1,075","1,098"
Slovenia,"1,271","1,192","1,145","1,111","1,040",989,682,684,631,574,544,493,446,414,378,322,329,304
Solomon Islands,"1,960","1,913","1,868","1,824","1,781","1,738","1,413","1,353","1,335","1,300","1,248","1,218","1,213","1,140","1,057",965,952,891
Somalia,"40,120","39,011","37,596","36,098","34,808","33,917","29,298","28,590","29,506","29,483","29,239","28,927","29,296","27,921","26,599","26,642","28,768","30,647"
South Africa,"281,228","272,337","260,192","244,865","227,729","208,405","203,564","201,567","204,838","190,552","234,016","267,478","272,887","305,479","321,352","338,957","333,324","335,911"
Spain,"17,199","16,225","15,447","14,509","13,936","13,294","12,878","11,987","12,014","11,055","10,964","10,699","10,757","10,498","10,449","10,436","10,391","10,320"
Sri Lanka,"18,614","18,439","18,249","18,041","17,811","17,559","18,668","17,129","16,717","16,534","19,950","18,556","16,573","16,824","16,480","14,296","15,429","15,322"
Sudan,"106,085","107,374","109,653","112,621","115,906","119,306","123,732","129,560","120,333","124,595","124,999","132,388","126,085","131,536","136,076","141,723","147,426","154,933"
Suriname,437,405,321,329,313,324,368,428,507,527,501,498,502,536,565,616,663,710
Swaziland,"5,438","5,240","4,777","4,405","4,217","4,231","4,503","5,032","5,667","6,733","7,836","8,942","7,549","8,151","8,643","8,862","9,079","9,266"
Sweden,460,464,480,484,471,439,416,384,379,368,353,325,316,322,367,395,407,420
Switzerland,956,923,827,769,726,681,633,611,608,553,496,451,454,451,428,403,375,347
Syrian Arab Republic,"11,952","11,645","11,336","11,025","10,712","10,398","10,083","9,370","8,435","7,799","6,723","6,280","6,145","5,879","5,734","5,676","5,637","5,348"
Tajikistan,"10,247","8,800","6,199","4,428","4,814","6,099","7,818","8,364","9,571","10,283","11,818","13,791","15,648","16,332","17,913","18,472","20,008","21,680"
Thailand,"182,330","175,208","170,485","167,178","165,309","163,907","165,509","164,094","152,152","138,703","135,550","118,962","121,452","117,237","117,890","116,127","119,716","122,826"
"Macedonia, FYR","1,759","1,723","1,715","1,678","1,613","1,516","1,458","1,445","1,435","1,296","1,125",783,799,753,696,692,684,672
Timor-Leste,"5,225","5,303","5,400","5,485","5,517","5,475","5,452","5,361","5,256","5,209","5,271","5,465","3,093","3,427","3,717","3,948","4,293","4,371"
Togo,"27,797","27,941","27,816","27,605","27,534","27,749","28,654","31,892","32,048","33,802","35,469","37,293","40,287","40,939","42,626","44,512","46,523","49,358"
Tokelau,2,2,2,2,0,4,0,2,2,0,0,0,2,0,2,0,0,0
Tonga,43,42,42,41,41,40,37,37,30,34,33,41,35,36,39,32,34,29
Trinidad and Tobago,206,206,205,204,203,202,200,200,197,201,196,203,203,202,197,203,199,199
Tunisia,"4,047","3,892","4,203","4,398","4,536","4,423","4,342","4,235","4,109","2,963","2,825","2,691","2,681","2,618","2,720","2,744","2,867","2,930"
Turkey,"47,535","46,073","45,533","44,079","41,959","38,754","39,752","41,184","42,356","37,975","33,191","30,811","30,737","30,678","31,555","32,311","23,396","25,189"
Turkmenistan,"3,843","3,752","3,932","3,889","3,784","3,371","3,924","4,925","5,998","6,315","5,863","5,265","5,095","4,850","4,675","4,398","4,167","3,732"
Turks and Caicos Islands,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,4,4
Tuvalu,56,55,53,52,50,49,48,47,45,44,43,42,41,39,38,26,27,21
Uganda,"36,793","57,997","65,667","74,816","81,047","88,764","91,788","77,295","83,031","86,089","96,623","104,583","117,484","129,241","132,367","135,775","134,614","131,636"
Ukraine,"34,704","32,943","34,767","36,794","38,391","39,951","44,010","46,961","51,925","53,938","58,621","62,167","63,647","64,164","62,417","52,927","46,203","47,008"
United Arab Emirates,876,870,871,860,869,875,865,889,904,935,889,924,955,950,984,"1,004","1,031","1,044"
United Kingdom,"5,221","5,321","5,485","5,514","5,444","5,371","5,457","5,411","5,392","5,349","5,302","5,501","5,549","5,836","6,198","6,698","6,927","7,157"
Tanzania,"54,774","60,031","65,322","71,015","78,181","84,568","92,529","102,098","107,252","114,506","123,142","127,241","136,548","138,934","139,825","140,240","139,234","136,253"
Virgin Islands (U.S.),31,29,28,26,26,25,20,20,19,21,21,20,20,19,19,18,18,18
United States of America,"18,111","18,836","18,673","18,163","17,212","16,278","15,209","14,144","13,253","12,426","11,862","11,273","10,917","10,567","10,331","10,074","9,784","9,484"
Uruguay,"1,075","1,052","1,030","1,008",986,963,911,896,909,913,890,847,901,834,767,807,819,775
Uzbekistan,"23,301","22,020","22,033","25,880","26,028","27,351","26,000","28,834","31,062","32,767","34,376","36,999","36,609","39,180","39,092","38,189","36,091","38,445"
Vanuatu,415,413,411,409,406,402,397,391,384,295,271,248,297,262,248,282,231,231
Venezuela,"9,014","9,074","9,121","9,158","9,185","9,202","9,344","9,357","9,385","9,393","9,611","10,121","10,319","9,984","10,053","10,187","10,401","10,662"
Viet Nam,"241,512","244,396","247,202","249,786","251,977","253,694","232,748","206,901","200,742","197,190","195,916","195,080","191,216","193,731","189,239","192,892","191,336","192,092"
Wallis et Futuna,17,49,9,24,24,13,18,31,16,16,15,2,41,22,10,9,9,4
West Bank and Gaza,"1,181","1,208","1,265","1,267","1,300","1,319","1,327","1,292","1,278","1,280","1,252","1,262","1,263","1,271","1,262","1,252","1,247","1,250"
Yemen,"32,651","33,647","35,584","35,983","37,175","37,829","37,456","34,499","33,195","30,941","29,812","28,807","28,832","29,035","28,190","28,857","29,395","29,031"
Zambia,"35,402","38,035","42,386","46,261","50,187","54,162","57,222","60,942","63,275","67,150","68,753","72,555","56,250","52,873","52,759","51,991","49,334","46,115"
Zimbabwe,"42,936","45,005","45,858","47,383","49,244","51,818","54,377","58,713","48,507","53,814","60,667","66,798","73,406","81,853","84,950","89,180","92,415","95,298"